"symbol","date","open","high","low","close","volume","adjusted","returns"
"TPMA.JK",2017-01-30,300,306,292,292,5268000,160.737106323242,-0.0270286723879193
"TPMA.JK",2017-01-31,300,304,292,300,5183500,165.140853881836,0.0270286723879194
"TPMA.JK",2017-02-01,300,300,296,298,5055000,164.039886474609,-0.00668898815079665
"TPMA.JK",2017-02-02,298,302,294,296,5248000,162.93896484375,-0.00673403218134407
"TPMA.JK",2017-02-03,296,302,294,298,5385500,164.039886474609,0.00673403218134412
"TPMA.JK",2017-02-06,298,300,296,296,5197600,162.93896484375,-0.00673403218134407
"TPMA.JK",2017-02-07,296,302,294,298,5575500,164.039886474609,0.00673403218134412
"TPMA.JK",2017-02-08,298,306,296,298,5471600,164.039886474609,0
"TPMA.JK",2017-02-09,298,298,292,292,1236400,160.737106323242,-0.0203396842371227
"TPMA.JK",2017-02-10,292,294,286,286,1150000,157.434280395508,-0.0207619914484291
"TPMA.JK",2017-02-13,286,312,286,312,13200,171.746490478516,0.0870113769896297
"TPMA.JK",2017-02-14,312,312,312,312,0,171.746490478516,0
"TPMA.JK",2017-02-15,312,312,312,312,0,171.746490478516,0
"TPMA.JK",2017-02-16,312,312,312,312,1000,171.746490478516,0
"TPMA.JK",2017-02-17,312,312,312,312,0,171.746490478516,0
"TPMA.JK",2017-02-20,312,312,312,312,0,171.746490478516,0
"TPMA.JK",2017-02-21,312,312,312,312,0,171.746490478516,0
"TPMA.JK",2017-02-22,312,312,312,312,0,171.746490478516,0
"TPMA.JK",2017-02-23,312,312,312,312,0,171.746490478516,0
"TPMA.JK",2017-02-24,312,312,312,312,0,171.746490478516,0
"TPMA.JK",2017-02-27,312,312,312,312,0,171.746490478516,0
"TPMA.JK",2017-02-28,312,312,312,312,0,171.746490478516,0
"TPMA.JK",2017-03-01,312,312,312,312,0,171.746490478516,0
"TPMA.JK",2017-03-02,312,312,312,312,0,171.746490478516,0
"TPMA.JK",2017-03-03,312,312,312,312,0,171.746490478516,0
"TPMA.JK",2017-03-06,306,306,306,306,13500,168.443664550781,-0.0194180858571016
"TPMA.JK",2017-03-07,306,306,306,306,0,168.443664550781,0
"TPMA.JK",2017-03-08,306,306,306,306,0,168.443664550781,0
"TPMA.JK",2017-03-09,300,300,300,300,100,165.140853881836,-0.0198026272961798
"TPMA.JK",2017-03-10,300,300,298,298,5600,164.039886474609,-0.00668898815079665
"TPMA.JK",2017-03-13,294,294,294,294,3000,161.83805847168,-0.0135137191667228
"TPMA.JK",2017-03-14,294,294,232,294,3200,161.83805847168,0
"TPMA.JK",2017-03-15,294,294,294,294,100,161.83805847168,0
"TPMA.JK",2017-03-16,294,294,294,294,0,161.83805847168,0
"TPMA.JK",2017-03-17,294,294,294,294,0,161.83805847168,0
"TPMA.JK",2017-03-20,294,294,222,240,8400,132.112670898438,-0.20294084399669
"TPMA.JK",2017-03-21,260,260,250,250,5900,137.61735534668,0.0408219945202552
"TPMA.JK",2017-03-22,250,294,250,294,100,161.83805847168,0.162118849476435
"TPMA.JK",2017-03-23,294,294,294,294,0,161.83805847168,0
"TPMA.JK",2017-03-24,294,294,294,294,0,161.83805847168,0
"TPMA.JK",2017-03-27,270,270,270,270,200,148.626770019531,-0.0851578083403068
"TPMA.JK",2017-03-29,290,290,290,290,100,159.636138916016,0.071458963982145
"TPMA.JK",2017-03-30,290,290,290,290,100,159.636138916016,0
"TPMA.JK",2017-03-31,290,290,290,290,0,159.636138916016,0
"TPMA.JK",2017-04-03,290,290,290,290,0,159.636138916016,0
"TPMA.JK",2017-04-04,290,290,290,290,0,159.636138916016,0
"TPMA.JK",2017-04-05,290,290,290,290,0,159.636138916016,0
"TPMA.JK",2017-04-06,310,310,218,250,20800,137.61735534668,-0.148420005118273
"TPMA.JK",2017-04-07,250,250,212,212,200,116.699523925781,-0.164874643190234
"TPMA.JK",2017-04-10,236,254,236,246,11400,135.415496826172,0.14874526126035
"TPMA.JK",2017-04-11,246,306,246,256,500,140.920196533203,0.0398459085471998
"TPMA.JK",2017-04-12,256,256,256,256,0,140.920196533203,0
"TPMA.JK",2017-04-13,250,256,250,256,600,140.920196533203,0
"TPMA.JK",2017-04-17,256,274,256,274,100,150.828643798828,0.0679506619085078
"TPMA.JK",2017-04-18,274,274,274,274,0,150.828643798828,0
"TPMA.JK",2017-04-19,274,274,274,274,0,150.828643798828,0
"TPMA.JK",2017-04-20,274,274,274,274,0,150.828643798828,0
"TPMA.JK",2017-04-21,294,294,250,278,1200,153.030532836914,0.0144930073025668
"TPMA.JK",2017-04-25,278,298,278,298,100,164.039886474609,0.0694723728147674
"TPMA.JK",2017-04-26,298,318,244,244,7700,134.314559936523,-0.199925261212203
"TPMA.JK",2017-04-27,244,244,244,244,7000,134.314559936523,0
"TPMA.JK",2017-04-28,244,244,240,240,700,132.112670898438,-0.0165293019512106
"TPMA.JK",2017-05-02,248,248,206,206,200,113.396713256836,-0.15276275455241
"TPMA.JK",2017-05-03,206,206,206,206,0,113.396713256836,0
"TPMA.JK",2017-05-04,204,210,204,210,3000,115.598594665527,0.0192313619278876
"TPMA.JK",2017-05-05,222,222,222,222,300,122.204231262207,0.0555698511548108
"TPMA.JK",2017-05-08,222,222,222,222,0,122.204231262207,0
"TPMA.JK",2017-05-09,222,222,222,222,0,122.204231262207,0
"TPMA.JK",2017-05-10,222,222,222,222,0,122.204231262207,0
"TPMA.JK",2017-05-12,222,222,222,222,1000,122.204231262207,0
"TPMA.JK",2017-05-15,222,222,222,222,0,122.204231262207,0
"TPMA.JK",2017-05-16,240,240,240,240,100,132.112670898438,0.0779615414697119
"TPMA.JK",2017-05-17,244,244,244,244,400,134.314559936523,0.0165293019512105
"TPMA.JK",2017-05-18,236,236,216,216,200,118.901412963867,-0.121889817609037
"TPMA.JK",2017-05-19,202,202,202,202,100,111.194854736328,-0.0670107102829602
"TPMA.JK",2017-05-22,236,238,222,222,1200,122.204231262207,0.0944096844710748
"TPMA.JK",2017-05-23,222,238,222,224,500,123.305183410645,0.00896866998276032
"TPMA.JK",2017-05-24,224,224,224,224,600,123.305183410645,0
"TPMA.JK",2017-05-26,224,224,224,224,0,123.305183410645,0
"TPMA.JK",2017-05-29,224,240,224,224,400,123.305183410645,0
"TPMA.JK",2017-05-30,222,222,222,222,100,124.223625183105,-0.00896866998276038
"TPMA.JK",2017-05-31,222,222,214,216,1100,120.866233825684,-0.0273989741881144
"TPMA.JK",2017-06-01,216,216,216,216,0,120.866233825684,0
"TPMA.JK",2017-06-02,256,256,218,220,1200,123.104499816895,0.0183491386681966
"TPMA.JK",2017-06-05,228,264,212,212,7400,118.627960205078,-0.0370412716803491
"TPMA.JK",2017-06-06,220,220,220,220,100,123.104499816895,0.0370412716803491
"TPMA.JK",2017-06-07,230,240,230,240,1000,134.295822143555,0.0870113769896297
"TPMA.JK",2017-06-08,220,246,220,246,10000,137.653213500977,0.0246926125903714
"TPMA.JK",2017-06-09,246,246,216,238,12500,133.176696777344,-0.0330608622608881
"TPMA.JK",2017-06-12,236,236,236,236,1000,132.057556152344,-0.00843886864586459
"TPMA.JK",2017-06-13,250,250,226,226,700,126.461906433105,-0.0432968057533242
"TPMA.JK",2017-06-14,226,226,200,200,100600,111.913192749023,-0.122217632724249
"TPMA.JK",2017-06-15,214,244,212,240,108000,134.295822143555,0.182321556793955
